,Food,Measure,Grams,Calories,Protein,Fat,Fiber,Carbs,Category,Consumed by,Unnamed: 10,Age(20-39),Age(40-59),Age(60-more)
0,Rice,3/4 cup,150,400,12,3,1.2,154.0,"Breads, cereals, fastfood,grains","underweight, healthy, overweight",,yes,yes,yes
3,Beans,1 cup,125,25,1,t,0.8,6.0,Vegetables,"underweight, healthy, overweight",,yes,yes,yes
4,Beetroots,1 cup,165,1,12,0,t,0.8,Vegetables,"underweight, healthy, overweight",,yes,yes,yes
5,Broccoli,1 cup,150,45,5,t,1.9,8.0,Vegetables,"underweight, healthy, overweight",,yes,yes,yes
6,Carrots,1 cup,150,45,1,t,0.9,10.0,Vegetables,"underweight, healthy, overweight",,yes,yes,yes
7,Cauliflower,1 cup,120,30,3,t,1,6.0,Vegetables,"underweight, healthy, overweight",,yes,yes,yes
8,Mushrooms canned,4,120,12,2,t,t,4.0,Vegetables,"underweight, healthy, overweight",,yes,yes,yes
9,Mustard greens,1,140,30,3,t,1.2,6.0,Vegetables,"underweight, healthy, overweight",,yes,yes,yes
10,Split cooked peas,4 cups,100,115,8,t,0.4,21.0,Vegetables,"underweight, healthy, overweight",,yes,yes,yes
11,"Potatoes, baked",1 med.,100,100,2,t,0.5,22.0,Vegetables,"underweight, healthy, overweight",,yes,yes,yes
12,Potato chips,10,20,110,1,7,t,10.0,Vegetables,"underweight, healthy",,yes,no,no
13,Radishes,5 small,50,10,t,0,0.3,2.0,Vegetables,"underweight, healthy, overweight",,yes,yes,yes
14,Soyabeans,1 cup,200,260,22,11,3.2,20.0,Vegetables,"underweight, healthy, overweight",,yes,yes,yes
15,Spinach,1 cup,100,26,3,t,1,3.0,Vegetables,"underweight, healthy, overweight",,yes,yes,yes
16,Ice cream,1 cup,150,125,0,0,5,0.0,"Desserts, sweets","underweight, healthy",,yes,yes,yes
